k
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
adv_k12_beta_100
95.46857142857144,93.92285714285714,91.86285714285712,89.68857142857141,84.05714285714285,75.68571428571428,64.4857142857143,51.828571428571436,39.42857142857142,27.485714285714284,15.657142857142857,7.285714285714286,2.1428571428571432,0.17142857142857157,0.05714285714285719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k25_beta_1
95.40571428571428,93.17571428571428,90.54571428571427,87.20142857142855,83.5142857142857,79.68571428571428,75.42857142857142,71.3142857142857,67.48571428571428,63.37142857142857,59.82857142857142,56.342857142857135,52.942857142857136,50.25714285714285,47.057142857142864,44.25714285714286,41.82857142857142,39.942857142857136,37.599999999999994,35.457142857142856,33.25714285714285,31.57142857142857,30.257142857142856,29.428571428571423,27.54285714285714,26.28571428571428,25.028571428571425,24.02857142857143,23.285714285714285,22.171428571428574,20.485714285714284,19.085714285714285,17.799999999999997,16.6,15.257142857142856,14.285714285714285,13.17142857142857,12.542857142857143,12.342857142857143,11.857142857142858,11.457142857142856,11.171428571428567,10.2,9.714285714285714,8.914285714285713,7.942857142857142,7.485714285714284,6.857142857142857,6.142857142857143,5.857142857142858,5.371428571428572
adv_k25_beta_100
96.06285714285713,94.66142857142856,93.05999999999999,91.14428571428572,89.05714285714285,87.08571428571427,85.25714285714285,83.37142857142857,81.77142857142856,80.05714285714285,78.19999999999999,76.14285714285714,73.02857142857142,69.25714285714285,64.74285714285715,58.22857142857143,50.17142857142857,41.31428571428572,31.94285714285714,23.485714285714288,15.77142857142857,9.114285714285714,4.6,1.9428571428571433,0.5428571428571434,0.028571428571428595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k50_beta_1
95.11428571428571,93.74999999999999,92.27142857142856,90.27857142857142,88.31428571428572,86.57142857142858,85.14285714285714,83.3142857142857,81.74285714285713,80.34285714285714,78.8,77.17142857142855,75.8,74.25714285714284,73.34285714285713,72.0,70.42857142857142,69.14285714285714,68.0,66.37142857142857,65.02857142857142,63.285714285714285,61.94285714285714,60.62857142857143,59.71428571428571,58.599999999999994,58.028571428571425,56.88571428571428,56.31428571428571,55.05714285714285,54.085714285714275,52.885714285714286,51.6,50.199999999999996,49.25714285714285,48.05714285714286,47.08571428571428,45.54285714285714,44.25714285714285,42.942857142857136,41.457142857142856,39.94285714285714,38.05714285714286,36.31428571428572,34.94285714285714,32.94285714285714,31.257142857142856,29.628571428571426,28.057142857142857,26.885714285714286,26.057142857142857
adv_k50_beta_100
95.6,94.37857142857143,93.21428571428571,91.59285714285713,90.02857142857141,88.59999999999998,87.65714285714284,86.5142857142857,85.68571428571428,84.65714285714286,83.74285714285715,82.6,81.57142857142857,80.19999999999999,79.25714285714285,78.02857142857142,76.71428571428571,75.77142857142856,74.82857142857142,74.02857142857144,73.65714285714286,72.91428571428571,71.8,71.25714285714285,70.37142857142857,69.57142857142857,68.5142857142857,67.19999999999999,66.0,64.97142857142856,63.885714285714286,62.68571428571428,61.2,59.82857142857143,57.4,54.48571428571428,50.942857142857136,45.714285714285715,39.94285714285714,33.199999999999996,26.02857142857143,19.34285714285714,13.314285714285715,8.314285714285713,4.714285714285714,2.0857142857142863,0.8000000000000007,0.11428571428571438,0.0,0.0,0.0
adv_k75_beta_1
92.14285714285712,90.03571428571426,87.72857142857141,84.96428571428571,82.25714285714285,80.2,78.57142857142856,77.37142857142858,76.14285714285714,74.8,73.77142857142856,72.62857142857142,71.74285714285713,70.28571428571428,68.97142857142858,67.82857142857142,66.60000000000001,65.4,64.02857142857142,62.74285714285714,62.08571428571428,60.942857142857136,59.82857142857142,59.028571428571425,58.17142857142857,57.2,56.342857142857135,55.51428571428571,54.914285714285704,54.05714285714285,53.114285714285714,52.22857142857143,51.51428571428571,51.028571428571425,50.05714285714285,48.8,48.42857142857142,48.28571428571428,47.91428571428571,47.31428571428571,46.77142857142857,46.028571428571425,45.65714285714285,44.828571428571436,43.91428571428571,43.25714285714285,42.68571428571428,41.54285714285714,40.97142857142857,40.37142857142857,39.685714285714276
adv_k75_beta_100
92.37142857142855,90.52142857142856,88.29999999999998,85.73571428571428,83.25714285714285,81.54285714285713,80.17142857142858,79.0,77.88571428571427,76.88571428571429,75.68571428571428,74.62857142857142,73.37142857142857,72.22857142857141,71.14285714285714,69.97142857142856,68.71428571428571,67.54285714285714,66.14285714285714,65.14285714285714,64.22857142857143,63.42857142857142,62.199999999999996,61.57142857142857,61.685714285714276,61.14285714285714,60.857142857142854,60.08571428571428,59.54285714285714,59.599999999999994,59.114285714285714,58.028571428571425,57.8,57.14285714285714,57.02857142857143,56.37142857142857,55.599999999999994,55.028571428571425,54.857142857142854,54.17142857142857,53.942857142857136,53.28571428571428,53.171428571428564,52.85714285714285,52.685714285714276,52.25714285714285,52.199999999999996,51.77142857142857,51.62857142857142,51.25714285714285,51.1142857142857
adv_k100_beta_1
79.53714285714284,75.81714285714285,72.38285714285713,68.52,64.31428571428572,62.39999999999999,61.028571428571425,59.8,59.11428571428571,57.857142857142854,56.714285714285715,56.05714285714286,54.94285714285714,53.51428571428572,52.65714285714285,51.57142857142857,50.4,49.57142857142857,48.199999999999996,47.771428571428565,47.31428571428571,46.57142857142857,45.48571428571428,45.0,43.99999999999999,43.22857142857142,42.02857142857143,41.08571428571428,40.31428571428572,39.68571428571429,38.91428571428571,38.91428571428571,38.599999999999994,38.37142857142857,37.828571428571436,37.42857142857143,37.3142857142857,37.0,36.34285714285714,36.25714285714285,36.199999999999996,36.199999999999996,35.68571428571428,35.57142857142857,35.885714285714286,35.8,35.22857142857143,34.74285714285715,34.371428571428574,34.34285714285714,33.91428571428572
adv_k100_beta_100
79.47999999999999,76.07428571428571,72.55428571428571,68.63428571428571,64.88571428571429,63.05714285714286,61.94285714285714,61.25714285714286,59.85714285714286,58.91428571428572,57.94285714285714,56.91428571428571,55.99999999999999,54.57142857142857,53.34285714285714,52.885714285714286,51.65714285714286,50.51428571428571,49.25714285714285,48.4,47.79999999999999,46.857142857142854,45.54285714285714,44.885714285714286,44.199999999999996,43.65714285714285,43.02857142857143,42.31428571428571,41.68571428571428,41.028571428571425,40.74285714285714,40.42857142857143,40.2,39.88571428571428,39.37142857142857,39.17142857142857,39.57142857142856,38.94285714285714,38.65714285714286,38.22857142857143,38.342857142857135,38.57142857142856,38.08571428571428,37.65714285714286,37.42857142857143,37.51428571428571,37.8,37.2,36.88571428571428,37.14285714285714,37.08571428571428
clean_k0_beta_1
98.1,84.8,51.4,19.999999999999996,10.399999999999999,5.6,2.400000000000002,1.8000000000000018,1.4000000000000012,0.8000000000000007,0.6000000000000004,0.40000000000000036,0.0,0.40000000000000036,0.40000000000000036,0.40000000000000036,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean_k0_beta_100
98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
